,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
1000,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Silver,2017,50,410
1001,22-10-22,Daihatsu,Terios,Benzene,automatic,Black,2010,130,310
1002,22-10-22,BMW,318,Benzene,automatic,Black,2016,137,700
1003,22-10-22,BMW,X6,Benzene,automatic,Gray,2017,85,1800
1004,22-10-22,BMW,X5,Benzene,automatic,Dark blue,2018,36,2200
1005,22-10-22,Kia,Sportage,Benzene,automatic,Gray,2020,16,795
1006,22-10-22,Hyundai,Elantra,Benzene,manual,Champagne,2006,290,165
1007,22-10-22,Mercedes,GLK 250,Benzene,automatic,Silver,2015,175,950
1008,22-10-22,Hyundai,Tucson GDI,Benzene,automatic,Black,2017,60,660
1009,22-10-22,Hyundai,Elantra HD,Benzene,automatic,Red,2020,64,360
1010,21-10-22,Toyota,Corolla,Benzene,manual,Dark red,2003,0,175
1011,21-10-22,Fiat,Tipo,Benzene,automatic,White,2022,0.1,540
1012,21-10-22,MG,ZS,Benzene,automatic,Black,2019,155,370
1013,21-10-22,Volkswagen,Golf,Benzene,automatic,White,2014,125,450
1014,21-10-22,Daewoo,Lanos,Benzene,manual,Gray,2008,300,117
1015,21-10-22,Toyota,Corolla,Benzene,automatic,Red,2017,81,565
1016,21-10-22,Nissan,Sunny,Benzene,automatic,Dark red,2018,37,190
1017,21-10-22,MG,ZS,Benzene,automatic,Red,2019,40,395
1018,21-10-22,Nissan,Sentra,Benzene,automatic,Gray,2016,123,350
1019,21-10-22,Kia,Soul,Benzene,automatic,Dark blue,2009,165,310
1020,21-10-22,Renault,Fluence,Benzene,automatic,Black,2014,88,253
1021,21-10-22,Peugeot,307,Benzene,automatic,Silver,2006,151,185
1022,21-10-22,Chery,Arrizo 5,Benzene,manual,Petroleum,2022,8.25,290
1023,21-10-22,Volkswagen,Tiguan,Benzene,,Black,2021,18,1120
1024,21-10-22,Hyundai,Tucson GDI,Benzene,automatic,Silver,2017,55,100
1025,21-10-22,Skoda,Felicia,Benzene,manual,Dark blue,1997,100,50
1026,21-10-22,Hyundai,Elantra CN7,Benzene,automatic,White,2022,20,555
1027,21-10-22,Mercedes,E 250,Benzene,automatic,Black,2015,130,1450
1028,21-10-22,Hyundai,Creta,Benzene,automatic,White,2018,86,485
1029,21-10-22,Kia,Cerato,Benzene,automatic,Black,2014,134,380
1030,21-10-22,Smart,Fortwo,Benzene,manual,Yellow,2008,45,67.5
1031,21-10-22,MG,6,Benzene,automatic,Red,2021,70,420
1032,21-10-22,Opel,Astra,Benzene,automatic,Red,2014,160,320
1033,21-10-22,Nissan,Sunny,Benzene,automatic,Light grey,2013,109,185
1034,21-10-22,Suzuki,Alto,Benzene,manual,Red,2015,30,125
1035,21-10-22,Nissan,Sunny,Benzene,automatic,Silver,2014,98,245
1036,21-10-22,Citroën,C5 Aircross,Benzene,automatic,Black,2022,10,755
1037,21-10-22,Suzuki,Sx4,Benzene,automatic,Black,2009,300,200
1038,21-10-22,Chevrolet,Cruze,Benzene,automatic,Black,2016,86,310
1039,21-10-22,MG,5,Benzene,automatic,Blue,2022,53,410
1040,22-10-22,Hyundai,Elantra MD,Benzene,automatic,Black,2012,146,285
1041,22-10-22,Volkswagen,Tiguan,Benzene,automatic,Black,2016,150,650
1042,22-10-22,Nissan,Sunny,Benzene,automatic,Red,2022,25,350
1043,22-10-22,Kia,Xceed,Benzene,automatic,White,2022,0.02,720
1044,22-10-22,Byd,F3,Benzene,manual,Silver,2018,115,175
1045,22-10-22,Kia,Sportage,Benzene,automatic,Silver,2022,15,965
1046,22-10-22,Mercedes,E 200,Benzene,automatic,White,2015,90,1200
1047,22-10-22,Hyundai,I10,Benzene,manual,Blue,2009,200,135
1048,22-10-22,Skoda,Octavia A5,Benzene,automatic,Black,2006,308,220
1049,22-10-22,Volkswagen,Jetta,Benzene,automatic,Gold,2012,136,380
1050,21-10-22,Suzuki,Swift,Benzene,automatic,Dark blue,2015,90,290
1051,21-10-22,Hyundai,Atos,Benzene,manual,Silver,2008,100,123
1052,21-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Black,2015,90,338
1053,21-10-22,Kia,Cerato,Benzene,automatic,Eggplant,2010,220,275
1054,21-10-22,Chevrolet,N-Series,Hybrid,manual,Green,2002,200,180
1055,21-10-22,Kia,Rio,Benzene,automatic,Blue,2003,0,110
1056,21-10-22,Kia,Sportage,Benzene,automatic,Gray,2022,16,800
1057,21-10-22,Hyundai,Elantra AD,Benzene,automatic,Silver,2017,169,355
1058,21-10-22,Toyota,Corolla,Benzene,automatic,White,2011,186,270
1059,21-10-22,BMW,316,Benzene,automatic,Silver,2015,125,600
1060,21-10-22,Nissan,Sunny,Benzene,automatic,Red,2018,134,248
1061,21-10-22,Mercedes,C 180,Benzene,automatic,Light grey,2004,183,350
1062,21-10-22,Chery,Tiggo 3,Benzene,automatic,Gray,2020,57,340
1063,21-10-22,Ford,Fiesta,Benzene,manual,Silver,2007,270,95
1064,21-10-22,Renault,Logan,Benzene,manual,Gray,2011,105,145
1065,21-10-22,Hyundai,Excel,Benzene,manual,Green,1997,196,45
1066,21-10-22,Chevrolet,Spark,Benzene,manual,Blue,2009,160,95
1067,21-10-22,Hyundai,Getz,Benzene,automatic,Red,2010,150,215
1068,21-10-22,Mitsubishi,Lancer,Benzene,automatic,Light grey,2008,230,190
1069,21-10-22,Mitsubishi,GT,diesel,manual,White,2001,0,60
1070,21-10-22,Jeep,Grand Cherokee,Benzene,automatic,Black,2015,140,1000
1071,21-10-22,Kia,Carens,Benzene,automatic,Black,2010,210,270
1072,21-10-22,Chery,Tiggo 3,Benzene,automatic,Black,2021,130,380
1073,21-10-22,Kia,Cerato,Benzene,automatic,White,2012,90,280
1074,21-10-22,Jac,J7,Benzene,automatic,Light grey,2022,10,450
1075,21-10-22,Speranza,Chery QQ || Chery qq,Benzene,manual,Red,2006,0,43
1076,21-10-22,Renault,Logan,Benzene,manual,Champagne,2015,120,149
1077,21-10-22,MG,ZS,Benzene,automatic,Red,2020,71,430
1078,21-10-22,Byd,F3,Benzene,manual,Dark red,2015,350,130
1079,21-10-22,Skoda,Octavia A7,Benzene,automatic,Silver,2015,110,400
1080,22-10-22,Chevrolet,Captiva,Benzene,automatic,White,2021,40,630
1081,22-10-22,Changan,CS 15,Benzene,automatic,White,2022,1.2,385
1082,22-10-22,MG,ZS,Benzene,automatic,Silver,2021,35,495
1083,22-10-22,BMW,318,Benzene,automatic,Dark blue,2019,70,870
1084,22-10-22,Renault,Megane,Benzene,automatic,Brown,2017,29,440
1085,22-10-22,Renault,Duster,Benzene,automatic,Blue,2020,46,455
1086,22-10-22,BMW,320,Benzene,automatic,Petroleum,2019,52,1120
1087,22-10-22,Chery,Arrizo 5,Benzene,automatic,Petroleum,2023,0.149,383
1088,22-10-22,MG,ZS,Benzene,automatic,Black,2021,87,429
1089,22-10-22,Geely,Emgrand 7,Benzene,manual,Red,2017,110,159
1090,21-10-22,Skoda,Octavia A7,Benzene,automatic,Silver,2015,110,400
1091,21-10-22,Hyundai,Tucson Turbo GDI || Tucson Turbo,Benzene,automatic,White,2018,25,650
1092,21-10-22,Brilliance,FRV,Benzene,manual,Red,2015,185,135
1093,21-10-22,Kia,Cerato,Benzene,automatic,Black,2014,144,340
1094,21-10-22,MG,5,Benzene,automatic,Silver,2021,0.089,350
1095,21-10-22,Kia,Sportage,Benzene,automatic,Cyan,2022,23,950
1096,21-10-22,Kia,Picanto,Benzene,manual,White,2005,100,140
1097,21-10-22,Renault,Duster,Benzene,automatic,Silver,2020,64,430
1098,21-10-22,Lada,Granta,Benzene,automatic,Blue,2022,6.5,260
1099,21-10-22,Nissan,Sunny,Benzene,automatic,Silver,2020,50,325
1100,21-10-22,Hyundai,Elantra AD,Benzene,automatic,Black,2020,90,465
1101,21-10-22,Kia,Cerato,Benzene,automatic,White,2015,130,460
1102,21-10-22,Toyota,Belta,Benzene,automatic,Black,2022,0.4,475
1103,21-10-22,Chevrolet,Optra,Benzene,automatic,Blue,2019,90,265
1104,21-10-22,Chevrolet,Aveo,Benzene,automatic,Red,2020,48,280
1105,21-10-22,Fiat,127,Benzene,manual,White,1985,0,27
1106,21-10-22,Hyundai,Elantra MD,natural gas,automatic,Red,2012,15,350
1107,21-10-22,Honda,Civic,Benzene,manual,Black,1977,0,15
1108,21-10-22,Renault,Fluence,Benzene,automatic,Black,2016,200,282
1109,21-10-22,Speranza,Tiggo,Benzene,automatic,Gray,2022,8,389.5
1110,21-10-22,Nissan,Sunny,Benzene,automatic,Dark red,2011,200,200
1111,21-10-22,Mercedes,E 180,Benzene,automatic,Dark blue,2017,49,1675
1112,21-10-22,Kia,Sportage,Benzene,automatic,Silver,2016,140,540
1113,21-10-22,Toyota,Avanza,Benzene,automatic,Silver,2007,200,210
1114,21-10-22,Renault,Kadjar,Benzene,automatic,Blue,2019,131,530
1115,21-10-22,Peugeot,504,Benzene,manual,Beige,1978,100,60
1116,21-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Champagne,2016,55,375
1117,21-10-22,Hyundai,Elantra CN7,Benzene,automatic,Silver,2022,19,735
1118,21-10-22,Toyota,Fortuner,Benzene,automatic,Brown,2022,35,1590
1119,21-10-22,Hyundai,Tucson Turbo GDI || Tucson Turbo,Benzene,automatic,Dark red,2022,0,965
1120,22-10-22,Toyota,Yaris,Benzene,automatic,Black,2014,135,290
1121,22-10-22,Hyundai,IX 35,Benzene,automatic,Gray,2014,79,529
1122,22-10-22,Seat,Tarraco,Benzene,automatic,Black,2022,0.014,1150
1123,22-10-22,Chery,Envy,Benzene,manual,Silver,2019,0,245
1124,22-10-22,MG,5,Benzene,automatic,Black,2021,38.5,360
1125,22-10-22,Hyundai,Tucson,Benzene,automatic,Light grey,2018,95,670
1126,22-10-22,Kia,Sportage,Benzene,automatic,White,2019,60,785
1127,22-10-22,Geely,Pandino,Benzene,manual,Silver,2015,92,110
1128,22-10-22,Jeep,Grand Cherokee,Benzene,automatic,Silver,2021,14,2170
1129,22-10-22,Kia,Sportage,Benzene,automatic,Blue,2020,26,885
1130,21-10-22,Fiat,Siena,Benzene,manual,Silver,2001,115,55
1131,21-10-22,Geely,Emgrand 7,Benzene,manual,White,2014,141,115
1132,21-10-22,Renault,Logan,Benzene,manual,Red,2011,143,125
1133,21-10-22,Hyundai,Matrix,Benzene,automatic,Gold,2002,87,227
1134,21-10-22,Chevrolet,T-Series,diesel,manual,White,2015,200,250
1135,21-10-22,Nissan,Sentra,Benzene,automatic,Black,2016,131,295
1136,21-10-22,Skoda,Felicia,Benzene,manual,Red,1995,263,47
1137,21-10-22,Hyundai,Elantra HD,Benzene,automatic,Silver,2018,5,360
1138,21-10-22,Fiat,128,Benzene,manual,Red,1976,0,20
1139,21-10-22,Jeep,Grand Cherokee,Benzene,automatic,Dark red,1999,0,280
1140,21-10-22,Kia,Cerato,Benzene,automatic,Silver,2011,165,275
1141,21-10-22,Daewoo,Nubira 2,Benzene,manual,Silver,2005,250,78
1142,21-10-22,Mitsubishi,Lancer Puma,Benzene,automatic,Dark blue,2012,46,325
1143,21-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Silver,2015,220,330
1144,21-10-22,Nissan,Sunny,Benzene,automatic,Light grey,2018,67,285
1145,21-10-22,Chery,Tiggo 3,Benzene,automatic,Red,2022,15,400
1146,21-10-22,Fiat,128,Benzene,manual,Red,1975,0,10
1147,21-10-22,Skoda,Scala,Benzene,automatic,Blue,2022,17,540
1148,21-10-22,Skoda,Octavia A4,Benzene,automatic,Gray,1999,90,170
1149,21-10-22,Hyundai,Verna,Benzene,manual,Champagne,2012,200,140
1150,21-10-22,Daihatsu,Terios,Benzene,automatic,Black,2007,124,225
1151,08-10-22,Proton,Preve,Benzene,automatic,White,2019,38,310
1152,21-10-22,Fiat,Ritmo,Benzene,automatic,Blue,1982,0,25
1153,21-10-22,MG,ZS,Benzene,automatic,White,2021,29.4,469
1154,21-10-22,Mercedes,C 180,Benzene,automatic,Silver,2001,122,290
1155,21-10-22,Kia,Sportage,Benzene,automatic,Black,2022,11,850
1156,21-10-22,Hyundai,Elantra CN7,Benzene,automatic,Petroleum,2022,25,580
1157,21-10-22,Kia,Xceed,Benzene,automatic,Dark blue,2022,23,780
1158,21-10-22,Daewoo,Nubira 1,Benzene,automatic,Mocha,1997,241.821,78
1159,21-10-22,Kia,Cerato,Benzene,automatic,Cyan,2021,45,550
1160,22-10-22,Kia,Sportage,Benzene,automatic,Champagne,2020,23,885
1161,22-10-22,Chevrolet,Spark,Benzene,manual,Black,2011,76,120
1162,22-10-22,Hyundai,Accent RB,Benzene,automatic,Blue,2021,23,425
1163,22-10-22,Opel,Insignia,Benzene,automatic,Brown,2017,78,590
1164,22-10-22,Mercedes,GLA,Benzene,automatic,Black,2019,118,975
1165,22-10-22,MG,ZS,Benzene,automatic,White,2022,58,490
1166,22-10-22,Hyundai,Tucson,Benzene,automatic,White,2022,20,870
1167,22-10-22,MG,ZS,Benzene,automatic,White,2021,29,475
1168,22-10-22,Kia,Sportage,Benzene,automatic,Blue,2021,15,950
1169,22-10-22,Renault,Megane,Benzene,automatic,Black,2022,13,725
1170,21-10-22,Mitsubishi,Pajero,Benzene,automatic,Silver,2006,440,385
1171,21-10-22,Hyundai,Verna,Benzene,automatic,Silver,2014,130,147
1172,21-10-22,BMW,X3,Benzene,automatic,Gray,2012,175,625
1173,21-10-22,Fiat,Tipo,Benzene,automatic,Red,2020,25,450
1174,21-10-22,Toyota,Rush,Benzene,automatic,Silver,2022,2.5,630
1175,21-10-22,Subaru,XV,Benzene,automatic,White,2016,11.9,450
1176,21-10-22,Opel,Mokka,Benzene,automatic,Red,2022,1.7,680
1177,21-10-22,Suzuki,Vitara,Benzene,manual,Red,2007,200,150
1178,21-10-22,Kia,Cerato,Benzene,automatic,Red,2010,155,0.001
1179,21-10-22,Hyundai,Tucson,Benzene,automatic,White,2020,73,810
1180,21-10-22,Chevrolet,Captiva,Benzene,CVT,Gray,2021,9,640
1181,21-10-22,Toyota,Corolla,Benzene,automatic,Silver,2007,170,170
1182,21-10-22,Fiat,Uno,Benzene,manual,Dark blue,1998,0,37
1183,21-10-22,Toyota,Tercel,Benzene,automatic,Red,1999,195,125
1184,21-10-22,Chana,New Star,Benzene,manual,White,2019,13,140
1185,21-10-22,Lada,1300,Benzene,automatic,Dark blue,1980,0,21
1186,21-10-22,Toyota,Belta,Benzene,automatic,Light grey,2022,27,425
1187,21-10-22,Jeep,Cherokee,Benzene,automatic,Gold,2009,177,410
1188,21-10-22,Skoda,Octavia A4,Benzene,manual,Black,2004,177,145
1189,21-10-22,Toyota,Yaris,Benzene,automatic,Red,2008,100,210
1190,21-10-22,Toyota,Yaris,Benzene,automatic,Black,2015,120,300
1191,21-10-22,Toyota,Rav 4,Benzene,automatic,White,2018,80,1600
1192,21-10-22,Kia,Rio,Benzene,automatic,Silver,2014,282,230
1193,21-10-22,Mini,Country man,Benzene,automatic,Silver,2012,80,450
1194,21-10-22,Skoda,Favorit,Benzene,manual,White,1994,0,27
1195,21-10-22,Speranza,A516,Benzene,manual,Black,2008,195,85
1196,21-10-22,Chevrolet,Optra,Benzene,automatic,Petroleum,2009,270,175
1197,21-10-22,Suzuki,Vitara,Benzene,manual,Silver,2007,80,210
1198,21-10-22,Kia,Cerato,Benzene,automatic,Blue,2015,100,380
1199,21-10-22,Peugeot,508,Benzene,automatic,Mocha,2015,260,400
1200,22-10-22,Nissan,Sunny,Benzene,automatic,Red,2017,122,255
1201,22-10-22,Kia,Sportage,Benzene,automatic,White,2021,30,860
1202,22-10-22,Opel,Vectra,Benzene,automatic,Black,2009,170,175
1203,22-10-22,Kia,Grand Cerato,Benzene,automatic,Red,2021,35,655
1204,22-10-22,Fiat,128,Benzene,manual,Cyan,1980,0,14
1205,22-10-22,Mercedes,E 200,Benzene,automatic,Gold,1988,0,165
1206,22-10-22,MG,5,Benzene,automatic,Black,2022,20,455
1207,22-10-22,Chevrolet,Captiva,Benzene,automatic,Black,2013,277,425
1208,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Red,2015,160,330
1209,22-10-22,Fiat,Tipo,Benzene,automatic,Light grey,2021,29,425
1210,21-10-22,Fiat,Siena,Benzene,manual,Silver,2000,0,60
1211,21-10-22,Daewoo,Nubira 2,Benzene,manual,Silver,2000,112,91
1212,21-10-22,Hyundai,Elantra CN7,Benzene,automatic,White,2021,13,675
1213,23-09-22,Mercedes,C 180,Benzene,automatic,Silver,2016,224,510
1214,21-10-22,Toyota,Corolla,Benzene,automatic,Silver,2021,26,615
1215,21-10-22,Byd,L3,Benzene,manual,Red,2015,180,175
1216,21-10-22,Lada,2107,Benzene,manual,White,2010,0,55
1217,21-10-22,Hyundai,Tucson,Benzene,automatic,Petroleum,2022,3.5,990
1218,21-10-22,Speranza,Tiggo,Benzene,manual,Dark blue,2011,210,160
1219,21-10-22,Toyota,Yaris,Benzene,automatic,Silver,2009,153,190
1220,21-10-22,Opel,Astra,Benzene,automatic,Eggplant,2019,52,450
1221,21-10-22,BMW,318,Benzene,automatic,Black,1999,400,165
1222,21-10-22,Chery,Tiggo 3,Benzene,automatic,Red,2019,79,320
1223,21-10-22,Byd,F3,Hybrid,manual,Dark blue,2020,195,210
1224,21-10-22,Skoda,Octavia A7,Benzene,automatic,Silver,2018,80,685
1225,21-10-22,Fiat,Shahin,Benzene,manual,Dark red,1999,0,60
1226,21-10-22,Kia,Sportage,Benzene,automatic,Petroleum,2018,170,800
1227,21-10-22,Honda,Civic,Benzene,automatic,Mocha,2012,0,400
1228,21-10-22,Suzuki,Van,Benzene,manual,Silver,2017,50,140
1229,21-10-22,Skoda,Kodiaq,Benzene,automatic,Gray,2021,28,990
1230,21-10-22,Nissan,Pick up,diesel,manual,White,2013,100,145
1231,21-10-22,Suzuki,Maruti,Benzene,manual,Silver,2013,46,70
1232,21-10-22,Opel,Astra,Benzene,automatic,Silver,2016,94,1111.111
1233,21-10-22,MG,ZS,Benzene,automatic,Gray,2022,2.8,520
1234,21-10-22,Toyota,Yaris,Benzene,automatic,Black,2014,200,265
1235,21-10-22,Fiat,125,Benzene,manual,Beige,1980,0,30
1236,21-10-22,Mercedes,C 180,Benzene,automatic,Gray,2020,19,1220
1237,21-10-22,Skoda,Felicia,Benzene,manual,Red,1997,0,48
1238,21-10-22,Nissan,Sunny,Benzene,automatic,Bronze,2023,5.7,400
1239,21-10-22,Toyota,Corolla,Benzene,automatic,Black,2017,18,510
1240,22-10-22,Citroën,C5 Aircross,Benzene,automatic,Silver,2021,9,865
1241,22-10-22,BMW,218 i,Benzene,automatic,White,2021,64,1050
1242,22-10-22,Jeep,Wrangler,Benzene,automatic,Gray,2016,83,870
1243,22-10-22,Chevrolet,Captiva,Benzene,automatic,White,2020,29,570
1244,22-10-22,BMW,530,Benzene,automatic,Dark blue,2018,115,1490
1245,22-10-22,Kia,Sportage,Benzene,automatic,White,2022,0.1,1020
1246,22-10-22,Mercedes,300,Benzene,automatic,Light grey,1991,130,240
1247,22-10-22,Opel,Vectra,Benzene,automatic,Black,2008,299,200
1248,22-10-22,Seat,Arona,Benzene,automatic,Silver,2019,36,460
1249,22-10-22,MG,ZS,Benzene,automatic,White,2021,22,480
1250,21-10-22,Volvo,S60,Benzene,automatic,Silver,2018,50,620
1251,21-10-22,Lada,Granta,Benzene,manual,Silver,2016,0,100
1252,21-10-22,Volvo,XC 40,Benzene,automatic,Black,2022,0,1180
1253,21-10-22,BMW,318,Benzene,automatic,Black,2010,117,360
1254,21-10-22,Chery,Tiggo 7,Benzene,automatic,White,2021,52.75,438.5
1255,21-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Gold,2018,37,480
1256,21-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Silver,2016,143,340
1257,21-10-22,Chevrolet,Optra,Benzene,automatic,Bronze,2019,27,310
1258,21-10-22,Kenbo,S3,Benzene,manual,White,2017,31,160
1259,21-10-22,Kenbo,S3,Benzene,manual,White,2017,30,150
1260,21-10-22,Fiat,131,Benzene,manual,White,1976,0,30
1261,21-10-22,Daewoo,Leganza,Benzene,automatic,White,2001,188,105
1262,21-10-22,Volvo,XC60,Benzene,automatic,Black,2019,100,1250
1263,21-10-22,Lada,Granta,Benzene,manual,Red,2019,62.5,150
1264,21-10-22,Speranza,A113,Benzene,manual,Black,2010,131,85
1265,21-10-22,Mazda,323,Benzene,manual,Red,1982,0,32
1266,21-10-22,Peugeot,405,Benzene,automatic,Gold,1993,0,70
1267,21-10-22,Mitsubishi,Lancer Puma,Benzene,automatic,Red,2011,220,195
1268,21-10-22,Skoda,Kamiq,Benzene,automatic,Gray,2021,24,850
1269,21-10-22,Byd,F3,Benzene,manual,Blue,2018,116,185
1270,21-10-22,Mercedes,C 180,Benzene,automatic,Gray,2019,24,1550
1271,21-10-22,Ford,Fiesta,Benzene,automatic,Red,2013,150,240
1272,21-10-22,Chery,Tiggo 8,Benzene,automatic,Gray,2019,70,570
1273,21-10-22,Chevrolet,Optra,Benzene,automatic,Silver,2015,260,155
1274,21-10-22,Daewoo,Lacetti,Benzene,automatic,Silver,2006,200,180
1275,21-10-22,BMW,320,Benzene,automatic,Silver,2010,164,395
1276,21-10-22,Mercedes,E 200,Benzene,automatic,Black,2000,280,240
1277,21-10-22,Speranza,M12,Benzene,manual,Dark red,2013,127,125
1278,21-10-22,Kia,Cerato,Benzene,automatic,White,2018,130,540
1279,21-10-22,Chevrolet,Lanos,Benzene,automatic,Cyan,2014,280,140
1280,22-10-22,Kia,Sportage,Benzene,automatic,White,2021,45,755
1281,22-10-22,Mitsubishi,Lancer Puma,Benzene,automatic,Silver,2006,200,188
1282,22-10-22,Toyota,Hiace,diesel,manual,White,2008,200,630
1283,22-10-22,Chevrolet,Captiva,Benzene,automatic,Gray,2021,16,615
1284,22-10-22,Toyota,Corolla,Benzene,automatic,Cyan,2022,1,845
1285,21-10-22,Hyundai,Verna,Benzene,manual,Gray,2011,190,145
1286,21-10-22,Honda,City,Benzene,automatic,Gold,2009,175,250
1287,21-10-22,Chevrolet,T-Series,diesel,manual,Red,2015,250,250
1288,21-10-22,Daewoo,Lanos,Benzene,manual,White,1997,200,81
1289,21-10-22,Mercedes,CLA 200,Benzene,automatic,Gray,2014,100,780
1290,21-10-22,Hyundai,Tucson,Benzene,automatic,Champagne,2019,50,670
1291,21-10-22,Skoda,Octavia A4,Benzene,manual,Dark blue,1997,290,105
1292,21-10-22,Hyundai,Avante,Benzene,automatic,White,2004,130,210
1293,21-10-22,Chevrolet,Optra,Benzene,automatic,Light grey,2021,40,320
1294,21-10-22,Kia,Carens,Benzene,automatic,Black,2011,165,280
1295,21-10-22,Hyundai,Tucson GDI,Benzene,automatic,White,2019,92,750
1296,21-10-22,Chery,Tiggo 8,Benzene,automatic,Red,2022,2,790
1297,21-10-22,Peugeot,405,Benzene,manual,Silver,2007,0,100
1298,21-10-22,Nissan,Sunny,Benzene,automatic,Black,2020,76,285
1299,21-10-22,Skoda,Octavia A7,Benzene,automatic,White,2015,86,450
1300,21-10-22,Emgrand,EC 7,Benzene,manual,Black,2014,80,130
1301,21-10-22,Mazda,3 || Mazda 3,Benzene,automatic,Blue,2010,185,200
1302,21-10-22,Mercedes,C 180,Benzene,automatic,White,2012,160,650
1303,21-10-22,Peugeot,504,Benzene,manual,Cyan,1976,0,45
1304,21-10-22,Daewoo,Nubira 2,Benzene,automatic,Red,2003,125,120
1305,21-10-22,Toyota,Corolla,Benzene,automatic,White,2019,64,580
1306,21-10-22,Chevrolet,Optra,Benzene,automatic,Black,2008,168,155
1307,21-10-22,Lada,2107,Benzene,manual,Cyan,2005,0,35
1308,21-10-22,Kia,Sportage,Benzene,automatic,White,2020,50,835
1309,21-10-22,Ford,Fiesta,Benzene,automatic,White,2013,168,230
1310,21-10-22,Mini,Cooper,Benzene,automatic,Dark blue,2015,99,520
1311,21-10-22,Suzuki,Swift,Benzene,manual,Dark red,1996,0,37
1312,21-10-22,Chevrolet,Lanos,Benzene,automatic,Black,2017,99,190
1313,21-10-22,Kia,Cerato,Benzene,automatic,Black,2007,104,210
1314,21-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Black,2015,90,365
1315,21-10-22,Hyundai,Tucson,Benzene,automatic,White,2017,94.5,690
1316,21-10-22,Opel,Insignia,Benzene,automatic,Silver,2015,125,435
1317,21-10-22,Hyundai,Elantra HD,Benzene,automatic,White,2017,40,330
1318,21-10-22,Hyundai,Accent,Benzene,manual,Silver,2005,190,100
1319,21-10-22,Hyundai,Getz,Benzene,automatic,Red,2009,178,190
1320,21-10-22,MG,HS,Benzene,automatic,Red,2022,14,800
1321,21-10-22,Fiat,Punto,Benzene,manual,Black,2008,150,115
1322,21-10-22,Isuzu,D max,diesel,manual,White,2013,460,360
1323,21-10-22,Seat,Toledo,Benzene,automatic,Black,2016,237,305
1324,21-10-22,Byd,L3,Benzene,automatic,Gold,2017,33,185
1325,21-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Red,2015,150,420
1326,21-10-22,MG,ZS,Benzene,automatic,Dark red,2021,40,420
1327,21-10-22,Mitsubishi,Lancer Crystala,Benzene,automatic,Green,1998,0,118
1328,21-10-22,MG,6,Benzene,automatic,Black,2019,69,480
1329,21-10-22,Hyundai,Elantra CN7,Benzene,automatic,Light grey,2022,30,655
1330,21-10-22,Toyota,Corolla,Benzene,automatic,Silver,2017,113,500
1331,21-10-22,Skoda,Octavia A4,Benzene,manual,Silver,2000,245,160
1332,21-10-22,Ford,Kuga,Benzene,automatic,White,2019,55,780
1333,21-10-22,Ford,Focus,Benzene,automatic,Silver,2012,115,260
1334,21-10-22,Peugeot,301,Benzene,automatic,Silver,2014,140,185
1335,21-10-22,Hyundai,IX 35,Benzene,automatic,Silver,2016,11,440
1336,21-10-22,Opel,Mokka,Benzene,automatic,Blue,2022,7,765
1337,21-10-22,Opel,Corsa,Benzene,automatic,Gray,2013,170,205
1338,21-10-22,Renault,Megane,Benzene,automatic,Gold,2008,120,250
1339,21-10-22,Speranza,M11,Benzene,manual,Silver,2011,190,115
1340,21-10-22,Toyota,Corolla,Benzene,automatic,Silver,2013,116,355
1341,21-10-22,Hyundai,Verna,Benzene,manual,Cyan,2005,210,115
1342,21-10-22,Jac,S2,Benzene,automatic,White,2018,77,230
1343,21-10-22,Hyundai,Elantra,Benzene,automatic,Dark blue,2012,90,290
1344,21-10-22,Fiat,Tipo,Benzene,manual,Silver,2021,30,290
1345,21-10-22,Nissan,Sunny,Benzene,automatic,Black,2013,127,212
1346,21-10-22,Opel,Corsa,Benzene,manual,Petroleum,1997,165,60
1347,21-10-22,Nissan,Sunny,Benzene,automatic,Gold,2019,68,270
1348,21-10-22,Hyundai,Verna,Benzene,automatic,Black,2012,138,188
1349,21-10-22,Nissan,Sunny,Benzene,manual,Black,2012,107,170
1350,21-10-22,Mitsubishi,Attrage,Benzene,automatic,Black,2015,140,155
1351,21-10-22,Hyundai,IX 35,Benzene,automatic,White,2015,150,470
1352,21-10-22,Toyota,Corolla,Benzene,automatic,Silver,2008,190,111.111
1353,20-10-22,Mitsubishi,Pajero,Benzene,automatic,White,2022,38,1250
1354,20-10-22,Hyundai,Accent,Benzene,manual,Silver,1999,207,68
1355,20-10-22,Fiat,131,Benzene,manual,Yellow,1997,0,37
1356,20-10-22,Byd,L3,Benzene,automatic,Silver,2016,213,160
1357,20-10-22,Hyundai,Elantra HD,Benzene,automatic,Silver,2023,0.2,460
1358,20-10-22,Suzuki,Alto,Benzene,manual,Red,2009,150,85
1359,20-10-22,Fiat,Tipo,Benzene,automatic,Red,2022,13,565
