,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
83,22-10-22,Jeep,Cherokee,Benzene,automatic,Light grey,2013,86,550
84,22-10-22,Fiat,Shahin,Benzene,manual,Red,2001,0,56
85,22-10-22,Fiat,128,Benzene,manual,Green,2006,120,35
86,22-10-22,Kia,Rio,Benzene,automatic,Black,2013,105,250
87,22-10-22,Hyundai,Tucson GDI,Benzene,automatic,Gray,2020,55,810
88,22-10-22,Peugeot,308,Benzene,automatic,Silver,2011,120,390
89,22-10-22,Kia,Sportage,Benzene,automatic,Red,2022,1,850
90,22-10-22,Volkswagen,Passat,Benzene,automatic,Black,2019,66,700
91,22-10-22,Renault,Duster,Benzene,automatic,Dark blue,2019,30,430
92,22-10-22,MG,ZS,Benzene,automatic,Black,2019,89,410
93,22-10-22,Kia,Carens,Benzene,manual,Eggplant,2011,165,240
94,22-10-22,MG,3,Benzene,automatic,Black,2012,170,165
95,22-10-22,Kia,Carens,Benzene,automatic,Brown,2011,140,318
96,22-10-22,BMW,X6,Benzene,automatic,Black,2017,120,1750
97,22-10-22,Hyundai,Verna,Benzene,automatic,Light grey,2012,140,165
98,22-10-22,Nissan,Pick up,diesel,manual,White,2009,40,180
99,22-10-22,Hyundai,Verna,Benzene,automatic,Mocha,2015,950,175
100,22-10-22,Opel,Corsa,Benzene,automatic,Light grey,2012,178,255
101,22-10-22,Kia,Cerato,Benzene,automatic,Eggplant,2010,157,220
102,22-10-22,Volkswagen,Passat,Benzene,automatic,Silver,2007,205,248
103,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,White,2015,137,305
104,22-10-22,Citroën,C5,Benzene,automatic,White,2021,35,750
105,22-10-22,Byd,F3,Benzene,automatic,Silver,2013,167,175
106,22-10-22,MG,5,Benzene,automatic,Silver,2021,26,405
107,22-10-22,Suzuki,Swift,Benzene,manual,Red,1995,126,45
108,22-10-22,Kia,Cerato,Benzene,automatic,Dark red,2010,220,180
109,22-10-22,Peugeot,308,Benzene,automatic,Silver,2008,200,180
110,22-10-22,Daewoo,Lanos 2,natural gas,manual,White,2000,350,70
111,22-10-22,Skoda,Fabia,Benzene,manual,Black,2008,0,150
112,22-10-22,Chery,Arrizo 5,Benzene,manual,Eggplant,2020,89.11,225
113,22-10-22,Hyundai,Avante,Benzene,automatic,Silver,2004,290,170
114,22-10-22,Mitsubishi,Lancer,Benzene,automatic,Dark blue,2011,27,255
115,22-10-22,Mercedes,C 300,Benzene,automatic,Gold,2022,10,2600
116,22-10-22,Skoda,Rapid,Benzene,automatic,Black,2015,125,260
117,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Red,2015,160,290
118,22-10-22,Hyundai,Matrix,Benzene,manual,Silver,2002,180,153
119,22-10-22,Byd,F3,Benzene,manual,Blue,2021,53.543,235
120,22-10-22,Peugeot,3008,Benzene,automatic,Red,2019,140,660
121,22-10-22,Kia,Xceed,Benzene,automatic,Light grey,2022,0.2,730
